"Player","Team","Bye","POS","ESPN","ADP"
"Davis Allen","LAR","8","TE65","457","453"
"KhaDarel Hodge","ATL","5","WR140","458","454"
"Rasheen Ali","BAL","7","RB90","459","455"
"Austin Seibert","","","K50","460","456"
"Trey Palmer","TB","9","WR141","461","457"
"Patrick Taylor Jr.","SF","14","RB91","462","458"
"Andy Isabella","","","WR142","463","459"
"D.J. Williams","","","RB92","464","460"
"Matt Ammendola","","","K51","465","461"
"Jonathon Brooks","CAR","14","RB93","466","462"
"Skyy Moore","KC","10","WR143","467","463"
"Theo Johnson","NYG","14","TE66","468","464"
"Travis Homer","CHI","5","RB94","469","465"
"Malachi Corley","NYJ","9","WR144","470","466"
"","","","4","471","0"
"KaVontae Turpin","DAL","10","WR145","472","467"
"Jermaine Burton","CIN","10","WR146","473","468"
"Jalen Reagor","LAC","12","WR147","474","469"
"Case Keenum","CHI","5","QB79","475","470"
"Cam Akers","NO","11","RB95","476","471"
"Kylen Granson","PHI","9","TE67","477","472"
"Luke Farrell","SF","14","TE68","478","473"
"","","","5","479","0"
"Ja'Lynn Polk","NE","14","WR148","480","474"
"Miles Boykin","CHI","5","WR149","481","475"
"Connor Heyward","PIT","5","TE69","482","476"
"Randy Bullock","","","K52","483","477"
"Zay Jones","ARI","8","WR150","484","478"
"Christopher Dunn","","","K53","485","479"
"Israel Abanikanda","GB","5","RB96","486","480"
"Trent Taylor","SF","14","WR151","487","481"
"Laquon Treadwell","IND","11","WR152","488","482"
"Albert Okwuegbunam Jr.","LV","8","TE70","489","483"
"Kyle McCord","PHI","9","QB80","490","484"
"Ian Book","","","QB81","491","485"
"Robbie Ouzts","SEA","8","TE71","492","486"
"Trent Sherfield Sr.","DEN","12","WR153","493","487"
"Michael Gallup","WAS","12","WR154","494","488"
"Tommy Mellott","LV","8","QB82","495","489"
"Matt Corral","","","QB83","496","490"
"Trenton Irwin","JAC","8","WR155","497","491"
"Skylar Thompson","PIT","5","QB84","498","492"
"Louis Rees-Zammit","","","RB97","499","493"
"Xavier Restrepo","TEN","10","WR156","500","494"
""
""
