"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Jarrett Stidham","DEN","13.8","9.2","129.2","0.8","0.4","2.2","10.2","0.0","0.0","8.8"
"Nick Mullens","JAC","14.0","9.0","142.1","0.7","0.7","2.1","8.7","0.0","0.0","8.8"
"Cooper Rush","BAL","11.6","8.1","134.9","0.8","0.4","3.1","13.4","0.0","0.4","8.7"
"Davis Mills","HOU","14.0","8.4","128.4","0.7","0.4","2.1","8.6","0.0","0.0","8.6"
"Tyson Bagent","CHI","11.5","7.0","114.7","0.7","0.3","2.5","14.3","0.0","0.0","8.4"
"Tanner McKee","PHI","11.1","7.1","124.8","0.7","0.4","3.1","8.0","0.0","0.0","8.4"
"Drew Lock","SEA","13.8","9.3","132.0","0.7","0.7","2.2","8.5","0.0","0.0","8.3"
"Andy Dalton","CAR","14.1","9.0","128.2","0.7","0.7","2.1","8.6","0.0","0.0","8.2"
"Brandon Allen","TEN","12.8","8.2","123.4","0.7","0.7","2.1","6.6","0.0","0.0","7.8"
"Kyle Trask","TB","10.3","6.2","108.1","0.8","0.4","2.6","4.7","0.0","0.0","7.5"
"Quinn Ewers","MIA","9.0","6.5","108.7","0.7","0.3","1.0","7.7","0.0","0.0","7.4"
"Kirk Cousins","ATL","12.8","8.3","129.7","0.7","0.6","1.7","6.1","0.0","0.4","7.3"
"Trey Lance","LAC","10.0","6.0","109.0","0.3","0.3","2.0","16.0","0.0","0.0","7.0"
"Deshaun Watson","CLE","0.0","0.0","99.0","0.5","0.5","0.0","12.0","0.0","0.0","6.7"
"Case Keenum","CHI","14.4","8.7","91.9","0.6","0.1","1.1","2.4","0.0","0.0","6.3"
"Jake Haener","NO","11.0","6.5","68.5","0.5","0.5","2.5","11.5","0.0","0.0","5.4"
"Josh Johnson","WAS","10.5","7.5","64.5","0.5","0.0","2.5","4.0","0.0","0.0","5.0"
"Cam Miller","LV","9.0","6.0","61.5","0.5","0.0","1.0","3.5","0.0","0.0","4.8"
"Graham Mertz","HOU","8.0","5.5","59.5","0.5","0.0","1.0","4.0","0.0","0.0","4.8"
"Kyle McCord","PHI","6.5","4.5","51.5","0.5","0.0","1.5","7.0","0.0","0.0","4.8"
"Will Howard","PIT","8.0","5.0","57.0","0.5","0.0","1.0","4.0","0.0","0.0","4.7"
"Clayton Tune","ARI","9.5","6.5","39.0","0.5","0.0","2.5","3.0","0.0","0.5","2.9"
"Taylor Heinicke","LAC","5.6","3.5","38.9","0.2","0.2","0.4","2.1","0.0","0.0","2.6"
"Tyler Huntley","CLE","0.0","0.0","47.0","0.0","0.0","0.0","3.5","0.0","0.0","2.2"
"Kyle Allen","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike White","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trevor Siemian","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brett Rypien","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
