"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Travis Hunter","JAC","WR36","3.8","21.7","0.1","68.5","890.2","5.2","0.8","121.5"
"Rome Odunze","CHI","WR37","1.3","8.0","0.0","65.7","885.4","5.4","0.9","119.8"
"Jordan Mason","MIN","RB32","163.6","753.7","4.6","17.6","128.9","0.7","0.7","118.7"
"Chris Olave","NO","WR38","0.3","2.8","0.0","76.4","946.3","4.4","1.3","118.6"
"Keon Coleman","BUF","WR39","0.3","3.8","0.0","52.4","824.7","6.1","0.5","118.5"
"Jayden Reed","GB","WR40","11.8","93.5","0.7","55.3","740.9","5.3","0.9","118.0"
"Rashid Shaheed","NO","WR41","7.7","47.4","0.1","57.5","860.5","4.8","1.3","117.9"
"Austin Ekeler","WAS","RB33","101.8","452.9","4.5","45.1","369.4","1.7","1.0","117.7"
"Jordan Addison","MIN","WR42","1.2","11.2","0.3","60.9","799.7","6.0","0.4","117.7"
"Stefon Diggs","NE","WR43","1.3","6.9","0.2","77.6","853.1","5.1","0.5","117.2"
"J.K. Dobbins","DEN","RB34","145.9","648.7","4.7","29.1","187.3","1.2","1.2","116.8"
"Travis Etienne Jr.","JAC","RB35","147.5","596.8","3.9","38.4","284.9","1.2","0.9","116.5"
"Sam LaPorta","DET","TE4","0.0","0.0","0.0","67.9","761.4","6.8","0.4","116.1"
"Ricky Pearsall","SF","WR44","7.0","53.4","0.3","59.5","804.2","4.9","0.6","116.0"
"Mark Andrews","BAL","TE5","0.0","2.0","0.0","58.8","701.7","7.7","0.8","114.8"
"Rashee Rice","KC","WR45","1.1","4.5","0.0","69.2","809.9","5.7","0.6","114.5"
"Chris Godwin","TB","WR46","1.6","8.6","0.0","69.4","802.8","5.6","0.6","113.9"
"Rhamondre Stevenson","NE","RB36","154.2","630.2","4.9","28.0","177.7","1.1","1.5","113.8"
"Michael Pittman Jr.","IND","WR47","0.3","2.0","0.0","78.4","887.8","4.2","0.9","112.5"
"Javonte Williams","DAL","RB37","167.8","623.0","4.2","32.8","208.2","0.9","0.6","112.5"
"Cooper Kupp","SEA","WR48","1.3","9.0","0.0","72.5","805.0","5.3","0.6","112.3"
"Khalil Shakir","BUF","WR49","0.3","3.0","0.0","71.9","814.1","4.9","0.6","110.0"
"Zach Charbonnet","SEA","RB38","129.0","544.4","4.5","32.9","241.8","0.9","0.8","109.6"
"Darnell Mooney","ATL","WR50","0.0","1.5","0.0","58.6","830.9","4.5","0.4","109.4"
"Emeka Egbuka","TB","WR51","1.6","11.5","0.0","61.0","772.4","5.3","1.1","108.3"
"T.J. Hockenson","MIN","TE6","0.0","0.0","0.0","76.3","800.1","4.9","0.5","108.2"
"Marvin Mims Jr.","DEN","WR52","11.9","49.4","0.1","52.7","697.9","5.4","0.6","106.6"
"Travis Kelce","KC","TE7","0.0","0.5","0.0","79.4","758.1","5.2","0.9","105.4"
"Josh Downs","IND","WR53","0.3","5.8","0.0","69.2","770.1","4.5","0.5","103.7"
"Tank Bigsby","JAC","RB39","160.7","645.8","5.2","11.4","83.2","0.2","1.2","102.8"
"Rashod Bateman","BAL","WR54","0.0","0.6","0.0","45.6","686.3","5.6","0.1","101.8"
"David Njoku","CLE","TE8","0.0","0.0","0.0","76.8","738.6","4.9","0.8","101.7"
"Jacory Croskey-Merritt","WAS","RB40","132.3","554.1","4.6","16.5","131.8","0.8","0.8","99.3"
"Tyjae Spears","TEN","RB41","118.2","476.9","3.5","33.6","251.5","1.0","0.9","98.3"
"Rachaad White","TB","RB42","107.3","439.5","2.7","36.4","275.6","2.1","1.3","97.8"
"Najee Harris","LAC","RB43","129.9","531.6","4.4","20.8","150.3","0.8","0.8","97.7"
"Jerome Ford","CLE","RB44","135.4","547.2","2.9","30.8","212.1","0.9","0.8","97.4"
"Tyler Warren","IND","TE9","0.0","10.5","0.0","63.2","681.8","4.7","1.1","95.3"
"Cam Skattebo","NYG","RB45","120.4","526.6","3.4","24.2","185.9","0.9","1.2","94.7"
"Tucker Kraft","GB","TE10","0.0","0.0","0.0","55.2","652.7","4.8","0.8","92.5"
"Marquise Brown","KC","WR55","0.3","2.0","0.0","53.8","663.9","4.4","0.2","92.5"
"Cedric Tillman","CLE","WR56","0.7","0.8","0.0","56.1","703.7","4.0","0.9","92.4"
"Keenan Allen","LAC","WR57","0.3","2.0","0.0","55.6","640.5","4.8","0.6","91.8"
"Adam Thielen","CAR","WR58","0.0","1.8","0.0","61.5","656.4","4.4","0.5","90.9"
"Trey Benson","ARI","RB46","127.3","567.1","3.7","13.7","105.2","0.4","0.9","90.4"
"Brian Robinson Jr.","WAS","RB47","116.5","491.7","4.4","15.7","119.8","0.8","0.9","90.1"
"Jayden Higgins","HOU","WR59","0.7","4.0","0.0","50.6","671.8","3.8","0.4","89.6"
"Kyle Pitts Sr.","ATL","TE11","0.0","0.0","0.0","50.9","641.7","4.2","0.1","89.2"
"Nick Chubb","HOU","RB48","127.9","522.5","4.6","10.6","80.0","0.4","0.5","89.2"
"Christian Kirk","HOU","WR60","0.7","4.0","0.0","53.0","684.3","3.7","0.8","89.1"
"Jaylen Wright","MIA","RB49","136.9","562.4","3.4","14.1","98.2","0.6","1.5","86.9"
"Xavier Legette","CAR","WR61","6.2","28.9","0.1","54.5","617.0","3.8","0.5","86.9"
"Dallas Goedert","PHI","TE12","0.0","0.0","0.0","57.1","632.8","3.9","0.5","85.8"
"Tyler Allgeier","ATL","RB50","119.8","549.3","3.3","12.6","92.3","0.3","0.8","84.3"
"Jaydon Blue","DAL","RB51","108.6","475.2","2.9","20.4","158.5","0.8","0.8","84.0"
"Zach Ertz","WAS","TE13","0.0","0.0","0.0","57.8","537.2","5.1","0.1","83.8"
"Dalton Kincaid","BUF","TE14","0.0","0.0","0.0","57.1","604.3","4.0","0.5","83.7"
"Dylan Sampson","CLE","RB52","119.0","474.7","2.4","22.8","178.3","0.9","0.8","83.5"
"Evan Engram","DEN","TE15","0.0","0.0","0.0","68.9","613.9","4.0","0.9","83.4"
"Jake Ferguson","DAL","TE16","0.0","0.0","0.0","67.9","622.9","3.8","1.2","82.7"
"Ray Davis","BUF","RB53","109.2","467.4","3.5","12.4","105.6","1.0","0.8","82.6"
"Romeo Doubs","GB","WR62","0.0","0.5","0.0","45.2","575.0","4.3","0.5","82.2"
"Wan'Dale Robinson","NYG","WR63","2.0","15.6","0.0","69.4","625.3","3.1","0.5","81.9"
"Joshua Palmer","BUF","WR64","0.0","0.5","0.0","42.0","589.1","3.5","0.1","79.9"
"Hunter Henry","NE","TE17","0.0","0.0","0.0","55.0","574.8","3.9","0.4","79.8"
"Brandon Aiyuk","SF","WR65","0.0","0.8","0.0","39.9","611.3","3.2","0.5","79.6"
"DeMario Douglas","NE","WR66","2.1","15.9","0.0","55.7","589.0","3.1","0.2","79.0"
"Isaac Guerendo","SF","RB54","106.3","467.0","3.8","10.6","92.8","0.4","0.9","78.8"
"Tyler Lockett","TEN","WR67","0.0","0.0","0.0","49.6","577.5","3.5","0.1","78.4"
"Luther Burden III","CHI","WR68","3.6","27.2","0.4","45.9","558.2","3.3","1.1","78.1"
"Colston Loveland","CHI","TE18","0.0","0.0","0.0","53.6","562.3","3.8","0.8","77.4"
"Isaiah Likely","BAL","TE19","0.0","0.0","0.0","41.4","491.4","4.8","0.7","76.7"
"Braelon Allen","NYJ","RB55","111.5","425.5","3.0","16.4","122.1","0.8","0.4","76.5"
"Michael Wilson","ARI","WR69","1.9","8.9","0.1","43.8","524.4","3.9","0.5","76.4"
"Cade Otton","TB","TE20","0.0","0.0","0.0","52.0","530.4","4.0","0.5","76.2"
"Alec Pierce","IND","WR70","0.0","0.0","0.0","31.3","539.3","3.5","0.1","74.6"
"Rico Dowdle","CAR","RB56","92.9","409.3","2.4","21.0","143.5","1.1","0.8","74.2"
"Tre' Harris","LAC","WR71","0.7","3.8","0.0","40.8","544.3","3.4","0.7","73.9"
"Brenton Strange","JAC","TE21","0.0","0.0","0.0","55.2","550.6","3.3","0.5","73.8"
"Calvin Austin III","PIT","WR72","2.3","11.8","0.1","39.6","529.1","3.4","0.5","73.7"
"Darren Waller","MIA","TE22","0.0","0.0","0.0","49.6","545.8","3.2","0.1","73.3"
"Jonnu Smith","PIT","TE23","0.0","1.5","0.0","50.4","522.8","3.8","0.9","73.3"
"Bhayshul Tuten","JAC","RB57","89.2","389.2","2.7","17.3","136.9","0.8","0.8","72.2"
"Roschon Johnson","CHI","RB58","86.2","316.8","4.5","15.8","105.2","0.5","0.1","71.5"
"Quentin Johnston","LAC","WR73","1.7","7.2","0.0","34.9","458.0","4.1","0.4","70.7"
"Mike Gesicki","CIN","TE24","0.0","0.0","0.0","51.0","502.8","3.4","0.4","69.9"
"Juwan Johnson","NO","TE25","0.0","0.0","0.0","48.9","501.1","3.3","0.2","69.6"
"MarShawn Lloyd","GB","RB59","105.6","381.3","2.9","13.5","108.4","0.7","0.8","69.2"
"Dalton Schultz","HOU","TE26","0.0","0.0","0.0","49.7","509.2","3.1","0.4","68.9"
"Chig Okonkwo","TEN","TE27","0.0","3.0","0.0","52.9","528.1","2.9","0.8","68.8"
"Kareem Hunt","KC","RB60","81.2","310.5","3.3","19.0","131.2","0.7","0.1","68.3"
"Ray-Ray McCloud III","ATL","WR74","7.5","52.8","0.2","44.4","486.5","2.6","1.2","67.9"
"Jack Bech","LV","WR75","1.0","4.3","0.0","41.7","518.6","2.8","0.7","67.6"
"Dyami Brown","JAC","WR76","0.7","6.8","0.0","39.2","504.4","2.8","0.5","67.0"
"Darius Slayton","NYG","WR77","1.4","6.4","0.0","34.1","513.3","2.4","0.2","66.3"
"Pat Freiermuth","PIT","TE28","0.0","0.0","0.0","49.9","480.5","3.3","0.9","66.2"
"Jalen Nailor","MIN","WR78","1.8","4.1","0.0","32.9","430.1","3.9","0.4","66.2"
"Josh Reynolds","NYJ","WR79","0.0","0.0","0.0","36.5","479.4","3.0","0.1","65.5"
"Tutu Atwell","LAR","WR80","4.3","20.2","0.1","39.1","497.2","2.2","0.1","65.2"
"Nick Westbrook-Ikhine","MIA","WR81","0.0","1.3","0.0","31.4","427.5","3.7","0.1","64.7"
"DeAndre Hopkins","BAL","WR82","0.0","0.5","0.0","32.0","412.6","3.9","0.1","64.6"
"Miles Sanders","DAL","RB61","93.4","403.1","2.3","12.0","77.2","0.6","0.5","64.4"
"Tyler Higbee","LAR","TE29","0.0","0.0","0.0","45.3","424.9","3.7","0.1","64.3"
"Mason Taylor","NYJ","TE30","0.0","0.0","0.0","48.1","485.1","2.7","0.8","63.3"
"Theo Johnson","NYG","TE31","0.0","0.0","0.0","43.1","472.3","2.7","0.1","63.2"
"Kyle Williams","NE","WR83","2.1","13.3","0.0","35.5","454.5","2.7","0.4","62.1"
"Woody Marks","HOU","RB62","73.8","271.4","1.8","23.9","173.6","1.1","0.1","61.6"
"Kendre Miller","NO","RB63","91.8","355.5","3.1","9.7","72.6","0.2","0.4","61.6"
"Jalen Tolbert","DAL","WR84","0.0","0.0","0.0","34.6","404.1","3.5","0.1","61.4"
"Raheem Mostert","LV","RB64","77.2","289.8","2.6","17.6","129.3","0.5","0.8","59.4"
"Brandin Cooks","NO","WR85","1.7","3.8","0.0","37.0","421.0","2.8","0.1","59.3"
"Elijah Arroyo","SEA","TE32","0.0","0.0","0.0","40.0","423.5","2.8","0.4","58.4"
"Tre Tucker","LV","WR86","5.6","31.5","0.3","30.9","397.1","2.2","0.1","58.1"
"Skyy Moore","SF","WR87","0.0","0.0","0.0","35.1","423.2","2.6","0.0","57.9"
"Troy Franklin","DEN","WR88","1.1","6.1","0.0","30.9","386.0","3.1","0.1","57.9"
"Andrei Iosivas","CIN","WR89","0.0","0.0","0.0","30.4","365.6","3.4","0.1","56.8"
"Justice Hill","BAL","RB65","41.8","184.9","1.1","27.3","222.0","1.7","0.4","56.6"
"Jordan Whittington","LAR","WR90","1.1","13.9","0.0","34.1","397.7","2.4","0.1","55.6"
"Diontae Johnson","CLE","WR91","0.0","2.3","0.0","34.9","429.1","2.2","0.6","55.4"
"Marquez Valdes-Scantling","SEA","WR92","2.7","10.4","0.1","23.9","394.1","2.3","0.0","54.8"
"Tory Horton","SEA","WR93","1.0","8.7","0.0","33.4","424.9","2.1","0.7","54.3"
"Blake Corum","LAR","RB66","84.2","312.5","2.1","12.0","87.4","0.3","0.4","54.0"
"Jalen Coker","CAR","WR94","0.0","2.3","0.0","31.8","416.6","2.0","0.1","53.8"
"Will Dissly","LAC","TE33","0.0","0.0","0.0","38.6","378.0","2.5","0.1","53.0"
"Dontayvion Wicks","GB","WR95","0.0","1.3","0.0","27.4","346.2","3.0","0.0","52.8"
"Noah Fant","CIN","TE34","0.0","0.0","0.0","37.2","381.0","2.4","0.1","52.6"
"Noah Brown","WAS","WR96","0.0","0.0","0.0","31.8","406.5","1.9","0.1","51.8"
"Christian Watson","GB","WR97","4.3","17.0","0.0","19.9","366.6","2.3","0.4","51.6"
"Ty Johnson","BUF","RB67","44.9","205.3","0.9","15.2","165.4","1.4","0.1","51.3"
"Ja'Tavion Sanders","CAR","TE35","0.0","0.0","0.0","38.5","389.5","2.1","0.1","51.1"
"Adonai Mitchell","IND","WR98","2.3","10.7","0.1","27.9","355.9","2.2","0.2","50.2"
"Pat Bryant","DEN","WR99","0.0","0.0","0.0","28.6","344.9","2.6","0.1","49.9"
"Keaton Mitchell","BAL","RB68","66.0","299.8","1.5","8.6","82.3","0.5","0.0","49.9"
"Dont'e Thornton Jr.","LV","WR100","0.0","2.0","0.0","28.0","369.3","2.1","0.1","49.8"
"Kayshon Boutte","NE","WR101","0.0","0.0","0.0","26.8","359.4","2.3","0.1","49.4"
"Devaughn Vele","NO","WR102","0.0","1.7","0.0","31.7","350.3","2.3","0.1","48.8"
"Elic Ayomanor","TEN","WR103","0.0","7.5","0.0","28.6","336.3","2.2","0.1","47.4"
"Tyler Conklin","LAC","TE36","0.0","0.0","0.0","33.5","325.7","2.3","0.0","46.2"
"Russell Gage Jr.","SF","WR104","0.0","0.0","0.0","29.1","324.9","2.3","0.0","46.2"
"Noah Gray","KC","TE37","0.0","0.0","0.0","29.4","299.0","2.7","0.0","45.8"
"K.J. Osborn","WAS","WR105","0.0","0.0","0.0","28.1","311.3","2.4","0.0","45.6"
"Curtis Samuel","BUF","WR106","6.6","29.3","0.1","27.0","272.4","2.5","0.1","45.5"
"Allen Lazard","NYJ","WR107","0.0","0.0","0.0","24.6","318.9","2.2","0.1","45.2"
"AJ Barner","SEA","TE38","0.0","0.0","0.0","32.7","304.9","2.4","0.1","44.8"
"Jaylin Noel","HOU","WR108","0.0","13.0","0.0","25.5","304.3","2.2","0.1","44.7"
"Tai Felton","MIN","WR109","0.0","3.7","0.0","24.8","298.9","2.3","0.0","44.2"
"Samaje Perine","CIN","RB69","41.2","165.5","1.3","17.5","152.9","0.9","0.4","44.2"
"Jarquez Hunter","LAR","RB70","57.1","244.7","1.9","8.5","68.7","0.4","0.7","43.8"
"Tahj Brooks","CIN","RB71","48.8","233.9","1.9","10.0","78.5","0.5","0.7","43.7"
"Anthony Miller","BAL","WR110","0.0","0.0","0.0","25.4","278.0","2.6","0.0","43.3"
"Greg Dortch","ARI","WR111","4.8","30.6","0.1","28.0","278.2","2.1","0.4","43.2"
"Antonio Gibson","NE","RB72","51.4","210.1","1.0","15.7","128.0","0.5","0.0","42.6"
"Cole Kmet","CHI","TE39","0.0","0.0","0.0","30.2","291.0","2.3","0.4","41.9"
"Ollie Gordon II","MIA","RB73","51.6","228.8","2.0","7.8","60.6","0.4","0.7","41.6"
"Van Jefferson","TEN","WR112","0.0","0.0","0.0","23.5","300.4","1.9","0.1","41.0"
"Elijah Mitchell","KC","RB74","60.5","228.8","1.8","8.2","47.2","0.4","0.1","40.9"
"Roman Wilson","PIT","WR113","0.0","0.0","0.0","22.9","290.3","2.0","0.1","40.7"
"Malik Washington","MIA","WR114","2.0","13.8","0.1","27.5","288.9","1.8","0.6","40.4"
"Kenneth Gainwell","PIT","RB75","58.5","210.6","1.4","12.5","88.5","0.4","0.4","39.8"
"Kyle Monangai","CHI","RB76","42.0","236.8","2.0","5.0","36.2","0.1","0.1","39.3"
"Devin Singletary","NYG","RB77","52.1","236.2","1.5","9.4","63.6","0.1","0.4","39.2"
"Trevor Etienne","CAR","RB78","47.8","191.3","1.5","10.7","86.5","0.4","0.4","38.3"
"Tim Patrick","DET","WR115","0.0","0.0","0.0","20.5","256.5","2.0","0.1","37.4"
"Foster Moreau","NO","TE40","0.0","0.0","0.0","23.0","259.9","1.9","0.1","37.2"
"Jalen McMillan","TB","WR116","1.4","11.0","0.0","18.1","227.2","2.3","0.4","36.8"
"Khalil Herbert","IND","RB79","60.4","215.4","1.6","7.7","43.8","0.2","0.0","36.5"
"KaVontae Turpin","DAL","WR117","8.4","58.5","0.5","17.0","206.0","1.4","0.7","36.5"
"Parker Washington","JAC","WR118","0.0","8.5","0.0","24.7","261.7","1.6","0.1","36.3"
"Will Shipley","PHI","RB80","37.4","199.7","1.3","8.3","61.8","0.4","0.1","36.3"
"Demarcus Robinson","SF","WR119","0.0","1.0","0.0","15.5","244.3","2.0","0.0","36.2"
"Sean Tucker","TB","RB81","44.8","231.3","1.4","5.2","40.2","0.3","0.7","36.1"
"Devin Neal","NO","RB82","38.8","204.5","1.3","7.3","54.5","0.4","0.1","35.9"
"Jermaine Burton","CIN","WR120","0.0","2.0","0.0","18.2","240.9","2.0","0.1","35.8"
"Austin Hooper","NE","TE41","0.0","0.0","0.0","26.6","264.3","1.7","0.4","35.7"
"Dawson Knox","BUF","TE42","0.0","0.0","0.0","21.9","238.7","1.9","0.0","35.3"
"Chimere Dike","TEN","WR121","2.1","8.9","0.0","18.9","246.0","1.6","0.1","35.1"
"Oronde Gadsden II","LAC","TE43","0.0","0.0","0.0","23.6","239.3","1.8","0.1","34.8"
"Michael Mayer","LV","TE44","0.0","0.0","0.0","27.3","253.1","1.6","0.1","34.6"
"Jaleel McLaughlin","DEN","RB83","30.5","142.6","0.8","18.2","110.3","0.9","0.5","34.3"
"Harold Fannin Jr.","CLE","TE45","0.0","0.0","0.0","26.5","260.8","1.5","0.4","34.2"
"Terrance Ferguson","LAR","TE46","0.0","0.0","0.0","23.0","235.2","1.9","0.4","34.1"
"Tyler Johnson","NYJ","WR122","0.0","0.0","0.0","22.1","233.9","1.7","0.0","33.7"
"Zamir White","LV","RB84","56.2","190.4","1.1","8.7","61.4","0.3","0.0","33.5"
"Robbie Ouzts","SEA","TE47","0.0","0.0","0.0","25.0","245.9","1.5","0.5","32.8"
"A.J. Dillon","PHI","RB85","50.1","199.1","1.6","3.6","28.6","0.1","0.0","32.7"
"Emanuel Wilson","GB","RB86","33.5","175.2","1.2","7.4","53.9","0.4","0.3","31.9"
"JuJu Smith-Schuster","KC","WR123","0.0","0.0","0.0","20.1","221.1","1.6","0.1","31.2"
"Josh Oliver","MIN","TE48","0.0","0.0","0.0","20.2","210.8","1.7","0.1","31.2"
"DJ Giddens","IND","RB87","23.6","163.2","1.3","7.6","56.4","0.1","0.0","30.3"
"Luke McCaffrey","WAS","WR124","0.0","1.0","0.0","19.1","200.7","1.4","0.1","28.7"
"Tommy Tremble","CAR","TE49","0.0","0.0","0.0","19.2","184.1","1.7","0.4","27.7"
"Luke Musgrave","GB","TE50","0.0","0.0","0.0","19.1","186.3","1.4","0.0","27.1"
"A.T. Perry","DEN","WR125","0.0","0.0","0.0","13.7","180.5","1.5","0.0","26.9"
"Brock Wright","DET","TE51","0.0","0.0","0.0","15.0","134.8","2.2","0.0","26.4"
"Gunnar Helm","TEN","TE52","0.0","0.0","0.0","20.2","200.8","1.1","0.4","26.1"
"Jordan James","SF","RB88","26.9","154.4","1.3","3.3","29.2","0.0","0.0","26.0"
"Zay Jones","ARI","WR126","0.0","2.0","0.0","16.8","179.9","1.3","0.1","25.7"
"Audric Estime","DEN","RB89","45.5","149.1","0.9","5.8","40.1","0.2","0.4","25.1"
"Amar Johnson","GB","RB90","35.0","164.0","1.0","2.0","26.0","0.0","0.0","25.0"
"Robert Woods","PIT","WR127","0.0","0.0","0.0","17.4","180.8","1.2","0.1","25.0"
"Ben Sinnott","WAS","TE53","0.0","0.0","0.0","16.8","166.8","1.4","0.1","24.9"
"Taysom Hill","NO","TE54","0.0","50.0","1.0","12.3","104.7","0.7","0.3","24.8"
"Kalif Raymond","DET","WR128","0.0","4.0","0.0","14.7","184.2","1.2","0.6","24.7"
